 27	 28-Al	 13	p	  2247.400	    2247.40(3)	     0.00007800	         7.8E-05(12)	     Stable	 0.00E+00	         8.8E-06(13)
 27	 28-Al	 13	p	  3889.676	  3889.676(11)	     0.00047000	          0.00047(5)	     Stable	 0.00E+00	          5.3E-05(6)
 27	 28-Al	 13	p	  4903.113	   4903.113(6)	     0.00716000	         0.00716(18)	     Stable	 0.00E+00	        0.000804(20)
 27	 28-Al	 13	p	  1718.970	    1718.97(3)	     0.00016000	         1.6E-04(10)	     Stable	 0.00E+00	         1.8E-05(11)
 27	 28-Al	 13	p	  2743.480	    2743.48(4)	     0.00008800	         8.8E-05(12)	     Stable	 0.00E+00	         9.9E-06(13)
 27	 28-Al	 13	p	  4001.490	    4001.49(3)	     0.00036000	          0.00036(4)	     Stable	 0.00E+00	          4.0E-05(5)
 27	 28-Al	 13	p	  4984.290	    4984.29(3)	     0.00024000	          2.4E-04(4)	     Stable	 0.00E+00	          2.7E-05(5)
 27	 28-Al	 13	p	  5014.920	    5014.92(3)	     0.00000590	         5.9E-06(20)	     Stable	 0.00E+00	         6.6E-07(22)
 27	 28-Al	 13	p	  4120.915	  4120.915(13)	     0.00007800	         7.8E-05(16)	     Stable	 0.00E+00	         8.8E-06(18)
 27	 28-Al	 13	p	  4162.120	    4162.12(3)	     0.00003700	         3.7E-05(10)	     Stable	 0.00E+00	         4.2E-06(11)
 27	 28-Al	 13	p	  5103.711	   5103.711(8)	     0.00097000	          0.00097(6)	     Stable	 0.00E+00	         1.09E-04(7)
 27	 28-Al	 13	p	  5134.343	   5134.343(8)	     0.00722000	         0.00722(23)	     Stable	 0.00E+00	          0.00081(3)
 27	 28-Al	 13	p	  2690.670	    2690.67(5)	     0.00005700	         5.7E-05(12)	     Stable	 0.00E+00	         6.4E-06(13)
 27	 28-Al	 13	p	  3803.700	    3803.70(5)	     0.00002200	          2.2E-05(6)	     Stable	 0.00E+00	          2.5E-06(7)
 27	 28-Al	 13	p	  5176.450	    5176.45(5)	     0.00017000	          1.7E-04(4)	     Stable	 0.00E+00	          1.9E-05(5)
 27	 28-Al	 13	p	  3754.630	    3754.63(4)	     0.00008400	          8.4E-05(6)	     Stable	 0.00E+00	          9.4E-06(7)
 27	 28-Al	 13	p	  5377.270	    5377.27(4)	     0.00018000	          1.8E-04(4)	     Stable	 0.00E+00	          2.0E-05(5)
 27	 28-Al	 13	p	  2876.430	   2876.43(10)	     0.00014000	          1.4E-04(4)	     Stable	 0.00E+00	          1.6E-05(5)
 27	 28-Al	 13	p	  3303.146	  3303.146(10)	     0.00241000	          0.00241(7)	     Stable	 0.00E+00	         0.000271(8)
 27	 28-Al	 13	p	  3821.690	    3821.69(3)	     0.00006500	         6.5E-05(16)	     Stable	 0.00E+00	         7.3E-06(18)
 27	 28-Al	 13	p	  4068.966	  4068.966(21)	     0.00049000	          0.00049(5)	     Stable	 0.00E+00	          5.5E-05(6)
 27	 28-Al	 13	p	  5411.077	   5411.077(8)	     0.00481000	         0.00481(19)	     Stable	 0.00E+00	        0.000540(21)
 27	 28-Al	 13	p	  5441.709	   5441.709(8)	     0.00002900	          2.9E-05(4)	     Stable	 0.00E+00	          3.3E-06(5)
 27	 28-Al	 13	p	  3254.751	  3254.751(23)	     0.00004300	          4.3E-05(6)	     Stable	 0.00E+00	          4.8E-06(7)
 27	 28-Al	 13	p	  5709.853	  5709.853(13)	     0.00148000	          0.00148(8)	     Stable	 0.00E+00	         1.66E-04(9)
 27	 28-Al	 13	p	  4424.200	    4424.20(3)	     0.00067000	          0.00067(6)	     Stable	 0.00E+00	          7.5E-05(7)
 27	 28-Al	 13	p	  4783.530	    4783.53(3)	     0.00002200	          2.2E-05(6)	     Stable	 0.00E+00	          2.5E-06(7)
 27	 28-Al	 13	p	  5766.296	  5766.296(25)	     0.00091000	          0.00091(8)	     Stable	 0.00E+00	         1.02E-04(9)
 27	 28-Al	 13	p	  5796.928	  5796.928(25)	     0.00030000	          0.00030(4)	     Stable	 0.00E+00	          3.4E-05(5)
 27	 28-Al	 13	p	  3659.090	    3659.09(4)	     0.00017000	          1.7E-04(5)	     Stable	 0.00E+00	          1.9E-05(6)
 27	 28-Al	 13	p	  3721.590	    3721.59(3)	     0.00014000	          1.4E-04(4)	     Stable	 0.00E+00	          1.6E-05(5)
 27	 28-Al	 13	p	  4237.510	    4237.51(3)	     0.00011700	        1.17E-04(10)	     Stable	 0.00E+00	        1.31E-05(11)
 27	 28-Al	 13	p	  5829.490	    5829.49(3)	     0.00002540	        2.54E-05(20)	     Stable	 0.00E+00	        2.85E-06(22)
 27	 28-Al	 13	p	  5860.120	    5860.12(3)	     0.00038000	          0.00038(4)	     Stable	 0.00E+00	          4.3E-05(5)
 27	 28-Al	 13	p	  4396.310	    4396.31(3)	     0.00011400	         1.14E-04(6)	     Stable	 0.00E+00	         1.28E-05(7)
 27	 28-Al	 13	p	  5005.517	  5005.517(24)	     0.00009400	          9.4E-05(6)	     Stable	 0.00E+00	         1.06E-05(7)
 27	 28-Al	 13	p	  5988.279	  5988.279(22)	     0.00004500	          4.5E-05(4)	     Stable	 0.00E+00	          5.1E-06(5)
 27	 28-Al	 13	p	  6018.911	  6018.911(22)	     0.00036600	        0.000366(19)	     Stable	 0.00E+00	        4.11E-05(21)
 27	 28-Al	 13	p	  3926.799	  3926.799(24)	     0.00004500	          4.5E-05(6)	     Stable	 0.00E+00	          5.1E-06(7)
 27	 28-Al	 13	p	  4059.643	  4059.643(15)	     0.00005900	          5.9E-05(6)	     Stable	 0.00E+00	          6.6E-06(7)
 27	 28-Al	 13	p	  4575.551	  4575.551(17)	     0.00071000	          0.00071(7)	     Stable	 0.00E+00	          8.0E-05(8)
 27	 28-Al	 13	p	  5184.756	  5184.756(15)	     0.00005900	          5.9E-05(4)	     Stable	 0.00E+00	          6.6E-06(5)
 27	 28-Al	 13	p	  6198.143	  6198.143(11)	     0.00210000	         0.00210(14)	     Stable	 0.00E+00	        2.36E-04(16)
 27	 28-Al	 13	p	  2725.210	  2725.210(11)	     0.00004100	         4.1E-05(12)	     Stable	 0.00E+00	         4.6E-06(13)
 27	 28-Al	 13	p	  3020.233	  3020.233(16)	     0.00014000	          1.4E-04(4)	     Stable	 0.00E+00	          1.6E-05(5)
 27	 28-Al	 13	p	  4044.690	  4044.690(23)	     0.00004500	          4.5E-05(4)	     Stable	 0.00E+00	          5.1E-06(5)
 27	 28-Al	 13	p	  5302.642	  5302.642(11)	     0.00124000	          0.00124(9)	     Stable	 0.00E+00	        1.39E-04(10)
 27	 28-Al	 13	p	  5343.840	    5343.84(3)	     0.00003330	        3.33E-05(21)	     Stable	 0.00E+00	        3.74E-06(24)
 27	 28-Al	 13	p	  6316.024	   6316.024(9)	     0.00500000	         0.00500(20)	     Stable	 0.00E+00	        0.000562(22)
 27	 28-Al	 13	p	  2954.470	    2954.47(7)	     0.00098000	          0.00098(5)	     Stable	 0.00E+00	         1.10E-04(6)
 27	 28-Al	 13	p	  4218.150	    4218.15(7)	     0.00005300	          5.3E-05(6)	     Stable	 0.00E+00	          6.0E-06(7)
 27	 28-Al	 13	p	  4280.650	    4280.65(7)	     0.00037000	          0.00037(5)	     Stable	 0.00E+00	          4.2E-05(6)
 27	 28-Al	 13	p	  5446.950	    5446.95(7)	     0.00006900	          6.9E-05(4)	     Stable	 0.00E+00	          7.7E-06(5)
 27	 28-Al	 13	p	  6419.130	    6419.13(7)	     0.00021000	          2.1E-04(4)	     Stable	 0.00E+00	          2.4E-05(5)
 27	 28-Al	 13	p	  3859.180	   3859.18(17)	     0.00009000	         9.0E-05(12)	     Stable	 0.00E+00	        1.01E-05(13)
 27	 28-Al	 13	p	  4169.327	  4169.327(23)	     0.00028000	          0.00028(5)	     Stable	 0.00E+00	          3.1E-05(6)
 27	 28-Al	 13	p	  5427.273	  5427.273(15)	     0.00017000	        1.70E-04(10)	     Stable	 0.00E+00	        1.91E-05(11)
 27	 28-Al	 13	p	  6440.650	  6440.650(11)	     0.00147000	          0.00147(8)	     Stable	 0.00E+00	         1.65E-04(9)
 27	 28-Al	 13	p	  3635.010	   3635.01(11)	     0.00002000	          2.0E-05(6)	     Stable	 0.00E+00	          2.2E-06(7)
