run,pi_med,PSSA_c_all,PSSA_sig,PSSA_n,PSSA_c_par,PSSA_n_par,PSSA_c_ded,PSSA_n_ded,PSSA_mult,PSSA_frac_found,PSSB_c_all,PSSB_sig,PSSB_n,PSSB_c_par,PSSB_n_par,PSSB_c_ded,PSSB_n_ded,PSSB_mult,PSSB_frac_found,PSSC_c_all,PSSC_sig,PSSC_n,PSSC_c_par,PSSC_n_par,PSSC_c_ded,PSSC_n_ded,PSSC_mult,PSSC_frac_found,PSSD_c_all,PSSD_sig,PSSD_n,PSSD_c_par,PSSD_n_par,PSSD_c_ded,PSSD_n_ded,PSSD_mult,PSSD_frac_found,LIQA_c_all,LIQA_sig,LIQA_n,LIQA_c_par,LIQA_n_par,LIQA_c_ded,LIQA_n_ded,LIQA_mult,LIQA_frac_found,LIQB_c_all,LIQB_sig,LIQB_n,LIQB_c_par,LIQB_n_par,LIQB_c_ded,LIQB_n_ded,LIQB_mult,LIQB_frac_found,LIQC_c_all,LIQC_sig,LIQC_n,LIQC_c_par,LIQC_n_par,LIQC_c_ded,LIQC_n_ded,LIQC_mult,LIQC_frac_found,LIQD_c_all,LIQD_sig,LIQD_n,LIQD_c_par,LIQD_n_par,LIQD_c_ded,LIQD_n_ded,LIQD_mult,LIQD_frac_found
224470,4.17e+12,-1649.61,24.98,207,-1649.14,119,-1650.25,88,1.43,0.417,-1660.70,34.39,226,-1648.26,113,-1673.14,113,1.31,0.441,-1651.89,25.27,150,-1646.82,77,-1657.24,73,1.49,0.446,-1638.86,13.73,189,-1635.30,103,-1643.11,86,1.22,0.285,-1705.84,4.42,495,-1704.12,239,-1707.45,256,2.13,0.972,-1707.16,4.11,391,-1705.38,189,-1708.83,202,1.59,0.968,-1693.30,4.91,1718,-1690.77,833,-1695.68,885,1.45,0.973,-1699.15,4.64,701,-1697.15,336,-1700.99,365,1.34,0.978
224472,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224474,4.16e+12,-1649.35,24.85,311,-1645.84,192,-1655.01,119,1.35,0.498,-1657.05,20.70,215,-1650.71,131,-1666.93,84,1.46,0.442,-1658.79,26.51,287,-1647.83,147,-1670.29,140,1.44,0.531,-1637.45,13.31,164,-1636.71,94,-1638.45,70,1.28,0.345,-1705.63,5.02,527,-1703.90,298,-1707.88,229,2.10,0.972,-1706.57,3.92,414,-1704.96,235,-1708.68,179,1.55,0.963,-1693.03,5.00,1661,-1690.84,929,-1695.80,732,1.47,0.972,-1698.82,4.86,754,-1697.07,419,-1701.02,335,1.35,0.982
224477,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224479,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224481,4.15e+12,-1666.30,41.36,181,-1652.20,105,-1685.78,76,1.38,0.503,-1693.51,5.98,130,-1675.67,53,-1705.79,77,1.51,0.451,-1686.11,6.30,171,-1669.65,76,-1699.28,95,1.48,0.528,-1686.43,5.34,83,-1662.91,28,-1698.40,55,1.21,0.301,-1707.61,4.59,307,-1706.24,198,-1710.10,109,2.37,0.975,-1709.29,4.96,254,-1707.59,162,-1712.29,92,1.92,0.973,-1694.24,4.84,1059,-1692.42,687,-1697.60,372,1.39,0.976,-1699.94,4.65,435,-1698.25,280,-1702.99,155,1.31,0.978
224483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224489,4.17e+12,-1689.92,5.40,45,-1693.03,27,,18,1.02,0.274,-1692.58,6.60,40,-1693.56,21,,19,1.11,0.250,-1684.26,6.20,45,-1685.25,21,-1683.39,24,1.16,0.308,-1613.37,4.60,50,-1612.86,36,,14,1.15,0.312,-1707.42,4.15,283,-1705.59,152,-1709.54,131,2.24,0.963,-1709.86,4.39,237,-1708.08,132,-1712.09,105,1.74,0.967,-1695.03,4.56,963,-1692.81,509,-1697.51,454,1.39,0.968,-1700.72,4.60,397,-1698.57,212,-1703.17,185,1.28,0.968
224491,8.42e+12,-1685.49,2.88,46,,16,-1683.98,30,1.02,0.232,-1687.55,2.25,77,,17,-1687.87,60,1.15,0.367,-1683.84,3.11,47,,7,-1684.16,40,1.00,0.318,-1624.52,8.04,64,-1613.84,27,-1632.32,37,1.16,0.286,-1707.80,4.02,259,-1705.19,109,-1709.69,150,2.09,0.963,-1709.80,3.95,214,-1706.97,90,-1711.86,124,1.58,0.955,-1695.58,4.32,873,-1692.57,357,-1697.67,516,1.30,0.975,-1700.97,4.53,366,-1698.43,151,-1702.76,215,1.25,0.979
224493,8.37e+12,-1683.00,2.35,47,,5,-1682.26,42,1.00,0.216,-1689.11,2.24,54,,5,-1689.51,49,1.15,0.281,-1680.71,2.58,78,,14,-1682.10,64,1.21,0.406,-1608.91,5.91,42,,19,-1609.05,23,1.10,0.236,-1707.90,3.91,256,-1705.54,108,-1709.62,148,2.09,0.962,-1709.88,3.76,212,-1707.21,91,-1711.89,121,1.69,0.946,-1695.33,4.00,880,-1692.65,360,-1697.17,520,1.34,0.979,-1701.57,4.79,362,-1699.35,148,-1703.10,214,1.21,0.971
224495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224498,8.41e+12,-1683.43,3.26,39,,9,-1681.71,30,1.02,0.177,-1688.16,2.08,42,,6,-1689.41,36,1.14,0.219,-1680.38,2.24,83,,19,-1681.78,64,1.15,0.441,-1612.62,4.85,37,,14,-1613.96,23,1.12,0.213,-1708.02,4.67,258,-1705.51,114,-1710.01,144,2.06,0.963,-1710.36,4.38,220,-1707.56,95,-1712.48,125,1.68,0.978,-1695.28,4.49,886,-1692.29,385,-1697.58,501,1.33,0.971,-1701.10,5.21,373,-1698.40,163,-1703.19,210,1.26,0.984
224500,8.25e+12,-1682.06,2.29,49,,9,-1681.60,40,1.04,0.225,-1686.46,1.99,42,,3,-1687.77,39,1.12,0.219,-1680.25,2.29,77,,18,-1681.88,59,1.19,0.405,-1609.28,4.55,40,,20,,20,1.11,0.230,-1708.25,4.49,256,-1705.35,107,-1710.34,149,2.04,0.962,-1710.06,4.71,217,-1706.92,92,-1712.37,125,1.71,0.977,-1695.27,4.67,890,-1692.42,381,-1697.41,509,1.32,0.981,-1700.71,4.31,366,-1698.30,151,-1702.40,215,1.23,0.976
224502,8.32e+12,-1682.19,2.65,47,,8,-1680.95,39,1.00,0.204,-1688.71,2.09,53,,12,-1688.99,41,1.07,0.265,-1678.99,2.38,73,-1671.01,22,-1682.43,51,1.29,0.369,-1611.73,4.72,43,,19,-1612.86,24,1.13,0.236,-1707.74,4.66,270,-1705.70,136,-1709.81,134,2.11,0.964,-1709.84,4.71,223,-1707.22,110,-1712.39,113,1.80,0.957,-1695.02,4.66,918,-1692.58,458,-1697.45,460,1.38,0.969,-1700.94,4.98,382,-1698.93,190,-1702.93,192,1.27,0.967
