channel_id,pad_cx,pad_cy,n_tag,n_hit,eff
447,144.3471,56.383,0,0,
446,538.9023,208.4196,0,0,
445,357.7356,138.249,0,0,
444,176.5673,68.1079,0,0,
443,389.9576,149.9791,0,0,
442,422.179,161.709,1547,1336,0.8636069812540401
441,208.787,79.8333,0,0,
440,454.3997,173.4382,0,0,
439,486.6205,185.1675,0,0,
438,241.0062,91.5587,0,0,
437,518.8405,196.8959,0,0,
436,551.0603,208.6245,0,0,
435,273.2253,103.284,0,0,
434,305.4442,115.01,0,0,
433,337.6629,126.7359,0,0,
432,369.8815,138.4616,0,0,
431,402.1,150.1879,0,0,
430,434.3186,161.9136,908,809,0.8909691629955947
429,466.5371,173.6401,0,0,
428,498.7553,185.3661,0,0,
427,530.9736,197.0923,0,0,
426,253.1154,91.7747,0,0,
425,285.3339,103.4937,0,0,
424,317.5523,115.2142,0,0,
423,349.7707,126.9359,0,0,
422,381.9891,138.6582,0,0,
421,414.2072,150.3811,0,0,
420,446.4257,162.1048,9,7,0.7777777777777778
419,478.6436,173.8288,0,0,
418,510.862,185.5531,0,0,
417,543.08,197.2778,0,0,
416,220.8966,80.0583,0,0,
415,188.6776,68.3451,0,0,
414,156.4584,56.6379,0,0,
413,124.238,44.9423,0,0,
412,426.2817,150.5609,0,0,
411,458.5021,162.2831,0,0,
410,490.7221,174.0057,0,0,
