channel_id,pad_cx,pad_cy,n_tag,n_hit,eff
657,339.0627,202.5348,87,29,0.3333333333333333
656,358.8578,213.9666,6438,5128,0.7965206585896241
655,134.2382,77.4287,0,0,
654,378.6528,225.3981,8784,7474,0.8508652094717668
653,398.4475,236.8299,9568,8721,0.9114757525083612
652,418.2423,248.2607,9420,8989,0.9542462845010615
651,154.0294,88.855,0,0,
650,438.0372,259.6917,8094,7804,0.9641709908574253
649,457.832,271.122,4947,4690,0.9480493228219122
648,477.6269,282.5526,1169,1093,0.9349871685201027
647,497.4219,293.9826,40,12,0.3
646,193.614,111.7091,5,1,0.2
645,233.2005,134.5644,11,3,0.2727272727272727
644,292.5818,168.8482,44,1,0.022727272727272728
643,332.1699,191.7046,84,25,0.2976190476190476
642,371.7587,214.5609,8489,7275,0.8569914006361173
641,391.5529,225.9893,9704,8710,0.8975680131904369
640,490.5252,283.131,70,48,0.6857142857142857
767,478.0239,344.5066,0,0,
766,431.7949,310.9189,1120,1077,0.9616071428571429
765,451.6731,322.4204,586,537,0.9163822525597269
764,385.5659,277.3313,2013,1858,0.9230004967709886
763,471.5448,333.9159,14,7,0.5
762,405.4419,288.833,1410,1316,0.9333333333333333
761,339.3373,243.7432,1060,848,0.8
760,425.3107,300.3283,1282,1216,0.9485179407176287
759,359.2101,255.2458,2147,1796,0.8365160689333955
758,293.1089,210.1559,24,8,0.3333333333333333
757,379.0752,266.7409,2591,2348,0.9062138170590506
756,445.1734,311.8177,1174,635,0.540885860306644
755,312.9774,221.659,35,8,0.22857142857142856
754,246.881,176.5683,18,1,0.05555555555555555
753,398.9342,278.2293,1955,1824,0.9329923273657289
752,465.0312,323.302,41,27,0.6585365853658537
751,332.8381,233.1534,93,60,0.6451612903225806
750,266.7438,188.0722,30,7,0.23333333333333334
749,200.6533,142.9805,8,3,0.375
748,484.8841,334.782,15,4,0.26666666666666666
747,418.7875,289.7122,1410,1353,0.9595744680851064
746,352.6922,244.6405,2074,1659,0.7999035679845709
745,286.5984,199.5664,27,4,0.14814814814814814
744,220.5083,154.4864,3,0,
743,438.6365,301.1902,1391,1334,0.9590222861250899
742,154.4273,109.3933,3,1,
741,372.5406,256.1216,2961,2488,0.8402566700439041
740,306.4464,211.0518,40,16,0.4
739,458.4807,312.6643,617,561,0.9092382495948136
738,240.3549,165.9796,20,2,0.1
737,392.3838,267.5979,3001,2795,0.931356214595135
736,326.2882,222.5308,40,19,0.475
735,478.3213,324.1347,23,12,0.5217391304347826
734,174.2698,120.9017,8,3,0.375
733,412.2231,279.0691,1899,1820,0.9583991574512901
732,260.1943,177.4633,20,4,0.2
731,108.2044,75.8071,0,0,
730,346.1252,234.004,1714,1205,0.7030338389731622
729,432.0584,290.5371,1463,1410,0.963773069036227
728,194.1044,132.3939,4,2,
727,280.0282,188.9392,22,4,0.18181818181818182
726,365.9583,245.4727,3906,3261,0.8348694316436251
725,451.8905,302.0012,1444,1332,0.9224376731301939
724,299.8576,200.4088,33,6,0.18181818181818182
723,385.7876,256.9371,4827,4372,0.9057385539672674
722,471.7199,313.4622,43,28,0.6511627906976745
721,213.9324,143.8748,5,1,0.2
720,128.0242,87.3208,0,0,
719,491.5465,324.9212,12,3,0.25
718,405.6136,268.3982,3988,3776,0.9468405215646941
717,319.6827,211.8738,50,11,0.22
716,233.7557,155.3466,13,2,0.15384615384615385
715,425.4372,279.8563,1972,1906,0.9665314401622718
714,147.8398,98.8111,0,0,
713,339.505,223.334,132,80,0.6060606060606061
712,445.2584,291.3116,1610,1553,0.9645962732919254
711,253.5749,166.8115,20,3,0.15
710,359.3243,234.7913,5018,3977,0.792546831406935
709,465.0774,302.7647,658,603,0.9164133738601824
708,273.3913,178.2714,36,3,0.08333333333333333
707,379.1413,246.2453,6457,5562,0.8613907387331579
706,484.8946,314.2159,26,15,0.5769230769230769
705,167.6517,110.2871,4,0,
704,293.205,189.7268,39,9,0.23076923076923078
831,397.4839,318.3122,29,22,0.7586206896551724
830,147.3473,118.758,0,0,
829,371.2104,296.2709,259,224,0.8648648648648649
828,246.1312,196.5036,11,3,0.2727272727272727
827,121.0825,96.7166,0,0,
826,344.9356,274.2293,505,429,0.8495049504950495
825,443.7461,351.9483,0,0,
824,219.8564,174.463,8,5,0.625
823,318.6588,252.1869,38,17,0.4473684210526316
822,417.4688,329.905,30,20,0.6666666666666666
821,193.5786,152.4219,6,1,0.16666666666666666
820,292.3797,230.1444,15,6,0.4
819,391.1896,307.8609,175,150,0.8571428571428571
818,364.9078,285.8163,888,788,0.8873873873873874
817,463.7216,363.5298,0,0,
816,266.0973,208.1007,24,11,0.4583333333333333
815,167.2966,130.3805,13,2,0.15384615384615385
814,437.4387,341.4835,0,0,
813,338.6237,263.7703,1063,911,0.8570084666039511
812,239.8113,186.0563,11,2,0.18181818181818182
811,411.1528,319.4364,156,144,0.9230769230769231
810,141.0074,108.3379,0,0,
809,312.3358,241.7235,25,9,0.36
808,384.8645,297.3876,753,703,0.9335989375830013
807,213.5192,164.0109,1,1,
806,457.395,353.0496,0,0,
805,286.0434,219.6755,10,2,0.2
804,358.5721,275.3375,1564,1355,0.8663682864450127
803,431.1032,330.9984,130,119,0.9153846153846154
802,187.2194,141.963,5,1,0.2
801,259.7452,197.6252,17,4,0.23529411764705882
800,332.2753,253.2859,785,620,0.7898089171974523
799,404.8073,308.9457,609,578,0.9490968801313628
798,114.7057,86.2957,0,0,
797,305.9728,231.232,25,12,0.48
796,378.5068,286.891,1388,1274,0.9178674351585014
795,451.0412,342.5494,0,0,
794,233.4391,175.573,5,2,0.4
793,160.9069,119.9141,3,1,
792,97.5305,71.0754,0,0,
791,424.7378,320.4921,466,443,0.9506437768240343
790,352.2006,264.8338,1745,1481,0.8487106017191977
789,279.6622,209.1755,15,6,0.4
788,470.969,354.0906,0,0,
787,398.4293,298.432,1020,968,0.9490196078431372
786,207.1214,153.518,7,0,0.0
785,325.8872,242.7739,56,29,0.5178571428571429
784,444.658,332.0282,398,365,0.9170854271356784
783,134.5739,97.8619,0,0,
782,253.3418,187.1156,12,1,0.08333333333333333
781,372.114,276.3692,1869,1724,0.922418405564473
780,299.565,220.7103,16,5,0.3125
779,418.341,309.9631,991,948,0.9566094853683148
778,180.7873,131.4582,3,0,
777,464.5685,343.5558,0,0,
776,345.7904,254.3029,1619,1361,0.8406423718344658
775,227.0074,165.0512,10,4,0.4
774,392.0166,287.8943,1389,1326,0.9546436285097192
773,273.2309,198.6421,26,4,0.15384615384615385
772,438.2431,321.4852,878,819,0.9328018223234624
771,319.4562,232.2321,28,15,0.5357142857142857
770,365.6826,265.8215,2332,2099,0.9000857632933105
769,411.9098,299.4105,1134,1079,0.9514991181657848
768,458.1373,332.9993,42,32,0.7619047619047619
895,440.8571,390.9432,0,0,
894,408.4578,358.5694,0,0,
893,434.7239,380.6173,0,0,
892,382.192,336.5199,2,0,
891,355.9255,314.469,79,7,0.08860759493670886
890,329.659,292.4159,8,4,0.5
889,297.256,260.044,14,4,0.2857142857142857
888,323.5187,282.0929,9,5,0.5555555555555556
887,349.7814,304.1407,19,11,0.5789473684210527
886,376.0448,326.1868,17,10,0.5882352941176471
885,402.3085,348.2318,0,0,
884,428.5718,370.2762,0,0,
883,270.9936,237.9928,6,0,0.0
882,244.732,215.9392,8,1,0.125
881,218.4712,193.8816,11,1,0.09090909090909091
880,291.0919,249.7057,12,5,0.4166666666666667
879,317.3526,271.7499,9,4,0.4444444444444444
878,343.6137,293.7933,27,22,0.8148148148148148
877,369.8754,315.8358,11,7,0.6363636363636364
876,396.1375,337.8775,4,3,
875,422.4,359.9191,0,0,
874,448.6628,381.9599,0,0,
873,264.832,227.6609,10,1,0.1
872,238.5729,205.6143,12,2,0.16666666666666666
871,212.3156,183.5654,4,0,
870,186.0607,161.5136,10,1,0.1
869,159.8089,139.4574,2,0,
868,133.5623,117.3941,0,0,
867,107.3262,95.3177,0,0,
866,416.2069,349.5448,0,0,
865,442.4699,371.5842,0,0,
864,389.9444,327.5051,18,12,0.6666666666666666
863,363.6818,305.4656,18,12,0.6666666666666666
862,337.4197,283.4256,18,11,0.6111111111111112
861,311.1582,261.3851,15,8,0.5333333333333333
860,284.8972,239.3447,16,4,0.25
859,258.6369,217.3032,11,4,0.36363636363636365
858,232.3774,195.2616,9,2,0.2222222222222222
857,206.1191,173.2192,4,0,
856,179.8631,151.175,5,1,0.2
855,436.2555,361.1918,0,0,
854,409.991,339.1532,6,4,0.6666666666666666
853,153.6099,129.1292,7,1,0.14285714285714285
852,383.7267,317.1142,19,11,0.5789473684210527
851,357.4623,295.0753,40,24,0.6
850,127.3615,107.0799,0,0,
849,331.1979,273.0361,159,124,0.779874213836478
848,304.9334,250.997,15,6,0.4
847,278.6691,228.958,11,2,0.18181818181818182
846,456.2853,372.8208,0,0,
845,101.1221,85.0246,0,0,
844,430.0184,350.7817,0,0,
843,252.4046,206.9185,6,2,0.3333333333333333
842,403.7506,328.7428,15,7,0.4666666666666667
841,377.4829,306.703,46,33,0.717391304347826
840,226.1406,184.8789,6,1,0.16666666666666666
839,351.2142,284.6636,239,198,0.8284518828451883
838,199.8759,162.839,11,2,0.18181818181818182
837,324.945,262.6241,332,260,0.7831325301204819
836,173.6115,140.799,2,0,
835,450.0279,362.3938,0,0,
834,298.6752,240.584,21,5,0.23809523809523808
833,423.7565,340.3529,4,4,
832,272.404,218.5438,10,2,0.2
