run,subrun,det,resist_v,drift_v,n_samples,t_start,t_end,i_median_ua,i_mean_ua,di_ua,di_err_ua,frac_elevated,n_pulses,pulse_rate_hz,q_per_pulse_nc,q_err_nc,q_per_channel_pc,leak_ok,notes
run_67,m113On_dr500_r545_046,B,544.75,499.75,604,1784781821.0,1784782437.0,5.6529998779296875,5.6542334438159765,0.0012335658862889787,0.002149491091493694,0.3658940397350993,168,0.2727272727272727,4.523074916392923,7.88146733547688,4.417065348039964,False,
run_67,m113On_dr500_r545_046,C,544.5,499.75,604,1784781821.0,1784782437.0,0.012000000104308128,0.08306622497632557,0.07106622487201744,0.005625846489837592,0.2980132450331126,168,0.2727272727272727,260.576157864064,20.628103796071173,254.46890416412498,True,
run_67,m113On_dr500_r545_046,D,544.5,500.0,604,1784781821.0,1784782437.0,2.365000009536743,2.4948211951761055,0.1298211856393623,0.010928939889808668,0.4105960264900662,168,0.2727272727272727,476.01101401099515,40.072779595965116,464.85450587011246,False,
run_67,m113On_dr500_r550_043,A,549.75,499.75,603,1784779939.0,1784780553.0,1.4420000314712524,1.505278606912983,0.06327857544173066,0.0049433868015476895,0.2736318407960199,167,0.2719869706840391,232.652965995345,18.175086803295095,227.2001621048291,False,
run_67,m113On_dr500_r550_043,B,549.5,499.75,603,1784779939.0,1784780553.0,5.665999889373779,5.687305134129564,0.021305244755784436,0.002087276192756398,0.3548922056384743,167,0.2719869706840391,78.3318579643811,7.6741771398348995,76.49595504334091,False,
run_67,m113On_dr500_r550_043,C,549.5,499.75,603,1784779939.0,1784780553.0,0.01600000075995922,0.1075671642468887,0.09156716348692948,0.006752459590887973,0.3167495854063018,167,0.2719869706840391,336.66011006571676,24.826408316198894,328.76963873605155,True,
run_67,m113On_dr500_r550_043,D,549.5,500.0,603,1784779939.0,1784780553.0,2.9059998989105225,3.0456053036362376,0.13960540472571514,0.010650286216778722,0.439469320066335,167,0.2719869706840391,513.2797515065215,39.15733974312655,501.2497573305874,False,
run_67,m113On_dr600_r520_019,A,519.75,599.75,603,1784764842.0,1784765456.0,1.49399995803833,1.4996948586174506,0.0056949005791204765,0.0011872954115114325,0.2222222222222222,167,0.2719869706840391,20.93813745856271,4.365265764479158,20.447399861877646,False,
run_67,m113On_dr600_r520_019,B,519.75,599.75,603,1784764842.0,1784765456.0,4.252999782562256,4.2595953632943075,0.006595580732051687,0.0012761397373810292,0.3101160862354892,167,0.2719869706840391,24.24962017652536,4.691914962586538,23.681269703638048,False,
run_67,m113On_dr600_r520_019,C,519.5,599.75,603,1784764842.0,1784765456.0,0.006000000052154064,0.027429519129289967,0.021429519077135903,0.0017408249054973852,0.23548922056384744,167,0.2719869706840391,78.78877073869128,6.400398155541285,76.9421589245032,True,
