    run  official  parts          bunches   reach      ours  parts   reach  merged
 224529   COVERED     48           1-3818    3818         -      0       -     yes
 224530   COVERED      1             1-63      63         -      0       -     yes
 224531   COVERED      9            1-652     652         -      0       -     yes
 224532   COVERED      1             1-32      32         -      0       -     yes
 224533   COVERED     35           1-2791    2791         -      0       -     yes
 224534   COVERED     25           1-1984    1984         -      0       -     yes
 224535   COVERED      1              1-1       1         -      0       -     yes
 224536   COVERED      1              1-2       2         -      0       -     yes
 224537   COVERED      2            1-385     385         -      0       -     yes
 224538   COVERED      7            1-556     556         -      0       -     yes
 224539   COVERED     35           1-2784    2784         -      0       -     yes
 224540   COVERED     38           1-3008    3008         -      0       -     yes
 224541   COVERED     35           1-2725    2725         -      0       -     yes
 224542   COVERED     15           1-2931    2931         -      0       -     yes
 224543   COVERED     36           1-2841    2841         -      0       -     yes
 224544   COVERED     17           1-1328    1328         -      0       -     yes
 224545   COVERED     35           1-2729    2729         -      0       -     yes
 224546   COVERED     33           1-2623    2623         -      0       -     yes
 224547   COVERED     33           1-2631    2631         -      0       -     yes
 224548   COVERED     33           1-2588    2588         -      0       -     yes
 224549   COVERED     33           1-2611    2611         -      0       -     yes
 224550   COVERED     17           1-1310    1310         -      0       -     yes
 224551   COVERED     12           1-2382    2382         -      0       -     yes
 224552   COVERED      6            1-412     412         -      0       -     yes
 224553   COVERED     10            1-730     730         -      0       -     yes
 224554   COVERED     29           1-2291    2291         -      0       -     yes
 224555   COVERED     16           1-1225    1225         -      0       -     yes
 224556   COVERED     35           1-2739    2739         -      0       -     yes
 224557   COVERED     34           1-2654    2654         -      0       -     yes
 224558   COVERED     34           1-2656    2656         -      0       -     yes
 224559   COVERED     34           1-2713    2713         -      0       -     yes
 224560   COVERED     40           1-3186    3186         -      0       -     yes
 224561   COVERED     40           1-3172    3172         -      0       -     yes
 224562   COVERED     42           1-3334    3334         -      0       -     yes
 224563   COVERED     45           1-3523    3523         -      0       -     yes
 224564   COVERED     38           1-2996    2996         -      0       -     yes
 224565   COVERED     38           1-2991    2991         -      0       -      no
 224566     SHORT      4           1-1769    1600         -      0       -     yes
 224567   COVERED     25           1-1966    1966         -      0       -     yes
 224568   COVERED     37           1-2897    2897         -      0       -     yes
 224569 MERGED_ONLY      0                ?       -         -      0       -     yes
 224570   COVERED     39           1-3050    3050         -      0       -     yes
 224571   COVERED     38           1-3006    3006         -      0       -     yes
 224572   COVERED     38           1-3018    3018         -      0       -     yes
 224573   COVERED     39           1-3118    3118  prod_v11     16    3118     yes
 224574   COVERED     38           1-3037    3037  prod_v11     16    3037     yes
 224575   COVERED      5            1-334     334  prod_v11      2     334     yes
 224576   COVERED     38           1-2991    2991  prod_v11     15    2991     yes
 224577   COVERED     42           1-3302    3302  prod_v11     17    3302     yes
 224578   COVERED     18           1-1404    1404  prod_v11      8    1404     yes
 224579   COVERED      1              1-3       3  prod_v11      1       3     yes
 224580   COVERED     16           1-1231    1231         -      0       -     yes
 224581   COVERED      9            1-668     668         -      0       -     yes
 224582   COVERED      2            1-368     368         -      0       -     yes
 224583   COVERED     40           1-3159    3159         -      0       -     yes
 224584   COVERED     40           1-3152    3152         -      0       -     yes
 224585   COVERED     42           1-3295    3295         -      0       -     yes
 224586   COVERED     40           1-3167    3167         -      0       -     yes
 224587   COVERED     15           1-1125    1125         -      0       -     yes
 224588   COVERED      8            1-607     607         -      0       -     yes
 224589   COVERED      8            1-603     603         -      0       -     yes
 224590   COVERED      8            1-612     612         -      0       -     yes
 224591   COVERED      8            1-621     621         -      0       -     yes
 224592   COVERED      8            1-605     605         -      0       -     yes
 224593   COVERED      8            1-606     606         -      0       -     yes
 224594   COVERED      8            1-607     607         -      0       -     yes
 224595   COVERED      4            1-609     609         -      0       -     yes
 224596   COVERED      8            1-609     609         -      0       -     yes
 224597   COVERED     41           1-3214    3214         -      0       -     yes
 224598   COVERED     18           1-1382    1382         -      0       -     yes
 224599   COVERED      2            1-118     118         -      0       -     yes
 224600   COVERED     44           1-3494    3494         -      0       -     yes
 224601   COVERED     45           1-3545    3545         -      0       -     yes
 224602   COVERED     10           1-1810    1810         -      0       -     yes
 224603   COVERED     39           1-3050    3050         -      0       -     yes
 224604   COVERED     42           1-3346    3346         -      0       -     yes
 224605   COVERED     18           1-1410    1410         -      0       -     yes
 224606   COVERED     41           1-3261    3261         -      0       -     yes
 224607   COVERED     15           1-1169    1169         -      0       -     yes
 224608   COVERED     51           1-4009    4009         -      0       -     yes
