eid,theta_ref_x,theta_ref_y,x_slope,x_intercept,x_tan_fit,x_theta_fit,x_rms,x_span_t,x_n,x_n_core,x_amp_max,y_slope,y_intercept,y_tan_fit,y_theta_fit,y_rms,y_span_t,y_n,y_n_core,y_amp_max,score,theta_sel
35242,,,64.24308909787958,-13298.710739158436,0.45781990123593114,24.59924947717925,24.75488130959981,617.1196899414062,15,12,1088.202392578125,-83.16850426591571,17346.31413740664,-0.3536406595920463,-19.47566508619891,45.58913976854559,594.58837890625,13,11,929.63330078125,0.09345030487486138,24.59924947717925
31295,,,-31.130494579877304,8402.776903491535,-0.944789509540721,-43.37387096392209,19.007357119958872,706.7623901367188,32,10,2379.963623046875,-74.52189720791225,23975.074653871776,-0.3946727848839523,-21.537800426081407,56.12830905826077,540.4832763671875,16,9,2947.510009765625,0.09381774719149227,-43.37387096392209
23773,,,-47.86603437675221,3851.0988734790244,-0.6144600255451116,-31.56906239180782,25.92528049462431,570.6337890625,19,5,2637.90478515625,86.79735159262601,-7049.006724548311,0.33885555453262317,18.71923548937185,38.965389118388956,578.2205810546875,12,6,2808.622314453125,0.09412665678095071,-31.56906239180782
5858,,,52.19206143016055,-7707.9713265381015,0.5635294698071841,29.402540877832294,19.5198563150323,701.412841796875,20,14,1859.0855712890625,120.39300054566401,-33720.44366082065,0.24429796227835293,13.72834844812987,75.837978720647,681.4521484375,11,9,2337.777587890625,0.0984737301623089,29.402540877832294
29846,,,53.252263131661884,-4704.466093449741,0.5523101362502503,28.91231537665951,24.66648791177551,535.14453125,19,8,2918.857421875,60.00548107084968,-5773.869416947792,0.49015130253110195,26.111844153589068,42.51096128287566,567.164306640625,19,7,3814.0009765625,0.0985698928079738,28.91231537665951
21988,,,34.331410667782805,-7897.5359986467765,0.8567013161938861,40.586707660359586,18.229351453986244,654.4281005859375,27,20,1723.0738525390625,75.05900778465069,-4865.351449204046,0.3918485678663202,21.3976582900309,69.40721096888798,616.842041015625,16,11,3483.4921875,0.09911550940951698,40.586707660359586
24751,,,-53.379875991387614,15453.326396794295,-0.5509897533412721,-28.85431388692206,18.666346027811596,656.8571166992188,18,7,2176.848388671875,-109.45423484867642,27271.167083740685,-0.2687128985602517,-15.040818165363095,72.01034438939702,618.520751953125,12,9,2072.2890625,0.1016294106568877,-28.85431388692206
22109,,,55.69450689868955,-7954.118360677088,0.5280909436793019,27.838128509309033,27.730056051537588,629.416748046875,18,11,1214.2266845703125,-100.01847714071874,10624.647968292207,-0.2940633125667584,-16.386675016047935,51.393365344181596,596.06884765625,11,7,2045.1590576171875,0.1021670090314642,27.838128509309033
35077,,,62.663477142342686,-13962.081808840265,0.4693605597256007,25.143508760366245,29.909126072632105,623.3253173828125,17,9,862.8101196289062,-97.8713310238874,10972.919196529763,-0.30051460829426996,-16.726290752952465,41.220039229878225,499.1405029296875,12,7,1249.828857421875,0.10427419049969794,25.143508760366245
18400,16.912226827224682,17.808929082685417,92.59395812685095,-18727.289760116793,0.31764237430685394,17.62205342497883,26.62603872147226,699.3163452148438,12,10,1780.1727294921875,86.38129458838714,-11629.85773759325,0.3404876581907166,18.803074995816942,31.483043285125913,649.8562622070312,14,11,1905.656982421875,0.10560271829245987,16.912226827224682
34669,-15.502139185663316,-18.06249941414957,-101.0406454335937,29153.65285800539,-0.29108844841269804,-16.229667849522002,28.95455116771274,757.469970703125,12,9,1489.4822998046875,-86.67633689620018,17372.156980283824,-0.33932865369131376,-18.743546688515185,43.57292428084973,747.5418701171875,15,5,2063.242431640625,0.10668633723130232,-15.502139185663316
34170,-13.94931048734881,18.21790641370791,-111.44885946979379,35742.94406563871,-0.26390368502473444,-14.783518603800866,20.430457105961178,503.81341552734375,10,7,2431.916015625,85.23302056016865,-12692.101649613764,0.34507476694574807,19.038262447762484,25.155876712331672,598.0975341796875,14,10,2373.9013671875,0.10725521066196417,-13.94931048734881
32463,,,-52.71045220488229,12393.612723461421,-0.557987334116593,-29.16096382169289,20.813431432767505,622.0228271484375,19,15,884.8681640625,196.5205148550221,-48565.636740113325,0.14966256692121999,8.511856614683229,66.071270856414,560.477294921875,7,5,1345.378173828125,0.10740284956496883,-29.16096382169289
14168,-14.36846318644355,-12.792679044498435,-112.42301043342027,31658.682381573526,-0.2616169464995846,-14.660959989462052,30.874063367258554,757.7391357421875,11,7,1895.775390625,-128.26946221509115,24437.33795669721,-0.22929670241045105,-12.914487213247677,80.87677230171329,760.3088989257812,12,7,1887.7764892578125,0.10745875654486728,-14.36846318644355
32256,,,51.75232023863861,-13668.206366000644,0.5683177985114441,29.61034011994388,23.787180216211294,712.6934814453125,18,11,682.9256591796875,-109.79386415787874,14594.975521190854,-0.2678816792857343,-14.996390842287868,82.93706218017162,691.98583984375,12,8,839.8882446289062,0.1083033018451423,29.61034011994388
3992,,,63.50730528392115,-10336.21435526751,0.46312411736557896,24.849992363238442,33.51690204295659,663.8265380859375,17,14,1087.919921875,77.46717814675019,-10734.478220716783,0.37966743347958387,20.790138826486707,56.034600445224626,651.1077270507812,15,11,1383.20166015625,0.1085206590492757,24.849992363238442
932,16.812255669927865,15.726130463220047,92.80024663390252,-23828.527808589057,0.31693627735615754,17.58529737480504,23.16086299300933,635.776611328125,12,7,1285.5721435546875,107.68471813424058,-22752.708971057924,0.27312849228260433,15.276513220370667,50.60133958338987,734.8368530273438,12,10,974.6686401367188,0.10852549593670971,16.812255669927865
33754,,,-52.20098047578463,17647.89748994426,-0.5634331853120287,-29.39835366851097,16.645967125816153,569.7505493164062,19,9,3477.353271484375,-114.12925859947477,21533.034532819707,-0.2577057370459227,-14.451019429881876,70.4287473310405,528.4652709960938,11,7,3975.4990234375,0.11085140801495079,-29.39835366851097
38192,,,-60.19679032569932,7592.412448025985,-0.4885935703008044,-26.039837270385284,39.30868244906835,606.6533203125,18,7,3988.8876953125,-65.9370727142141,8457.09725797349,-0.44605808986030465,-24.03964747013851,37.48695314653276,597.0320434570312,17,8,4905.97900390625,0.11119038008163408,-26.039837270385284
7451,15.356606958659642,13.052978031802175,107.33444940476146,-24639.517835344486,0.27401980323176295,15.324025612574244,36.65078708374597,712.8388061523438,11,8,834.9727783203125,110.65281486363045,-14780.684605638933,0.26580222782519974,14.885166749491294,44.745422755864354,717.637451171875,11,10,930.4716186523438,0.11137684392514346,15.356606958659642
20115,,,44.10257041378228,205.09976717214983,0.6668945694079325,33.69910663565084,34.55405333272356,692.879638671875,25,8,6011.90283203125,-91.06463429122472,9127.5053385859,-0.32297680581271015,-17.89925321492254,71.34800274952259,757.18212890625,16,9,5859.83642578125,0.11198437221178965,33.69910663565084
