eventId,front_x_mm,front_y_mm,back_x_mm,back_y_mm,z_front_mm,z_back_mm
1284154,71.3513,21.5446,68.8910,17.4510,0.0,1370.0
332023,88.7411,37.2012,82.8450,42.9214,0.0,1370.0
266448,86.5144,21.7213,86.2612,18.8059,0.0,1370.0
250486,97.2240,63.8014,96.2995,62.3699,0.0,1370.0
1404674,56.5139,68.5737,54.9196,67.6526,0.0,1370.0
1553916,25.4235,35.0056,21.4319,30.7511,0.0,1370.0
191032,68.7353,66.3619,67.8933,64.5623,0.0,1370.0
254183,93.7351,17.1962,88.5215,18.1964,0.0,1370.0
634620,81.9100,26.8305,80.9116,24.2262,0.0,1370.0
907335,72.7652,68.1737,71.7659,65.4480,0.0,1370.0
837722,99.0058,42.9803,98.2715,41.1375,0.0,1370.0
808629,94.3686,51.0853,96.6166,34.0676,0.0,1370.0
1515769,67.4377,62.7486,65.7560,61.0262,0.0,1370.0
90808,101.6109,81.5127,99.2772,80.6961,0.0,1370.0
861621,72.8299,17.4869,73.0426,3.7607,0.0,1370.0
1089768,64.4049,79.0996,59.5471,80.0132,0.0,1370.0
427821,74.5228,64.1801,73.0801,62.5490,0.0,1370.0
684103,15.9214,37.8575,14.2245,33.0691,0.0,1370.0
292579,29.8370,75.6946,27.8135,76.1248,0.0,1370.0
625207,69.7114,28.1359,69.1139,25.1388,0.0,1370.0
1492896,88.5876,45.0960,87.5653,43.1667,0.0,1370.0
486695,56.1721,54.5541,55.1229,52.9599,0.0,1370.0
8768,16.8742,67.8725,5.0383,56.6603,0.0,1370.0
332683,82.4058,49.8306,77.2242,50.0415,0.0,1370.0
518668,70.5266,42.6276,69.4430,39.9795,0.0,1370.0
14139,74.6423,74.0732,73.6016,73.1961,0.0,1370.0
629083,49.8610,59.1593,48.5408,57.2535,0.0,1370.0
415777,40.6118,63.7595,37.1799,61.3513,0.0,1370.0
684164,85.6959,21.0428,81.9448,22.0098,0.0,1370.0
577284,69.3153,25.3238,67.9400,21.7463,0.0,1370.0
1029243,85.8498,23.2609,87.5239,20.9298,0.0,1370.0
1257050,29.2355,83.3415,28.0012,81.9918,0.0,1370.0
773686,76.2317,52.2580,74.9337,50.2289,0.0,1370.0
1235959,66.6622,67.2001,65.9569,65.8432,0.0,1370.0
1511879,65.8758,33.5739,65.1239,31.1275,0.0,1370.0
325656,51.9320,47.8445,50.7920,44.9957,0.0,1370.0
643008,69.3527,46.0001,68.4903,43.7744,0.0,1370.0
576041,92.9090,69.7779,92.1597,67.9670,0.0,1370.0
665519,57.7524,89.6179,56.7765,88.7390,0.0,1370.0
17725,52.4798,52.5087,50.2168,50.2777,0.0,1370.0
154511,71.5413,86.8542,71.2041,86.8293,0.0,1370.0
1585931,52.7338,35.4680,51.4848,33.1279,0.0,1370.0
369364,83.4942,70.0034,83.0206,68.2690,0.0,1370.0
537461,73.9028,17.1961,73.1506,13.8254,0.0,1370.0
1324983,92.7536,28.6624,91.8621,26.3936,0.0,1370.0
611174,65.3345,93.7955,70.0123,82.4107,0.0,1370.0
34370,65.3786,26.3894,55.4268,20.2882,0.0,1370.0
1332917,62.5292,57.4208,61.1712,54.8214,0.0,1370.0
1119338,61.6241,77.0642,59.7889,75.9272,0.0,1370.0
112837,81.9849,53.3989,94.8022,8.6818,0.0,1370.0
1042071,80.8533,44.4417,79.6374,42.2256,0.0,1370.0
281985,81.7143,36.2640,81.6114,33.1987,0.0,1370.0
585467,77.4268,27.9668,75.8430,25.9398,0.0,1370.0
550789,62.6006,41.4894,60.8251,37.9600,0.0,1370.0
470868,67.5788,82.8909,66.1927,81.9329,0.0,1370.0
1385421,85.9920,51.8561,86.1805,50.3941,0.0,1370.0
688573,62.8846,79.2092,63.2818,76.1328,0.0,1370.0
1334283,84.1163,56.9374,93.8580,37.2618,0.0,1370.0
109758,41.7417,56.4629,38.6217,55.0827,0.0,1370.0
777395,86.6853,27.5036,90.0564,44.8162,0.0,1370.0
1030545,72.4976,34.5456,71.5590,31.6259,0.0,1370.0
339319,57.1056,22.3923,54.3651,24.9323,0.0,1370.0
696378,61.5825,64.5309,65.7670,42.9452,0.0,1370.0
